case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case051,cases_floorfrontR_lhs_500\case051\case051.key,2000395,3372959,-1909.84350000,-318.08462500,301.37530000,-1910.49577123,-318.87666575,283.90540550,78.97091414,95.89290269,2115.09180116,2118.73669469,0.92583373,0.0092583373,4.8189645818E-05,3.36127340,50.52743748,0,aluminum_rigid,70000.0,0.3300,193.28044356,0.7605128932,0.7205966694,0.1116268857,0.3516674666,0.2240848935,0.1403539930,0.2674903279
case052,cases_floorfrontR_lhs_500\case052\case052.key,2000395,3372536,-2394.69675000,-222.76007500,311.61070000,-2396.46488771,-220.47346045,294.35106261,364.98656669,-472.01277912,3562.80834454,3612.42502447,1.02256430,0.0102256430,5.3224471840E-05,9.50715123,307.71319240,1,titanium_rigid,110000.0,0.3400,100.78189440,0.3077620546,0.9503034578,0.5428177664,0.5451286010,0.6338100820,0.8547588678,0.4464237321
case053,cases_floorfrontR_lhs_500\case053\case053.key,2000395,3373799,-1680.54725000,-231.82270000,300.95655000,-1677.18296348,-230.94750363,283.80529327,-857.27956519,-223.01547644,4370.44283163,4459.30876932,0.78228749,0.0078228749,4.0718063768E-05,11.45764591,194.58190286,0,aluminum_rigid,70000.0,0.3300,104.63287832,0.9746273071,0.9284649442,0.7872921594,0.0645749767,0.7638430606,0.5405052857,0.1804656839
case054,cases_floorfrontR_lhs_500\case054\case054.key,2000395,3371577,-2386.50750000,-304.75672500,304.30205000,-2388.24142772,-305.24580773,286.89503151,477.90353759,134.80052530,4797.70616234,4823.33363899,0.87442746,0.0087442746,4.5513949266E-05,5.90893729,15.75197546,2,steel_rigid,210000.0,0.3000,182.65448471,0.3154090896,0.7527133602,0.8923771366,0.2488549190,0.3939291530,0.0437554874,0.9645924521
case055,cases_floorfrontR_lhs_500\case055\case055.key,2000395,2871922,-2300.13850000,-396.38175000,295.90287500,-2297.72090554,-396.56299074,278.57162032,-374.39509378,28.06742192,2683.96409620,2710.09644406,0.79270714,0.0079270714,4.1260406541E-05,7.96313481,175.71270481,2,steel_rigid,210000.0,0.3000,273.08292432,0.3960595487,0.5319214422,0.2823378205,0.0854142763,0.5308756538,0.4880908467,0.8149418962
case056,cases_floorfrontR_lhs_500\case056\case056.key,2000395,2989307,-2645.81225000,-560.38862500,299.93365000,-2647.33074336,-564.30273331,282.94471436,378.30624438,975.13209958,4232.49822180,4359.82103116,0.89428851,0.0089428851,4.6547716762E-05,13.88094478,68.79604553,0,aluminum_rigid,70000.0,0.3300,80.79341195,0.0732730557,0.1367085350,0.7585725098,0.2885770130,0.9253963189,0.1911001265,0.1757664923
case057,cases_floorfrontR_lhs_500\case057\case057.key,2000395,3371384,-2542.98075000,-301.36675000,315.43587500,-2541.36772410,-299.86727399,298.07500753,-266.38080532,-247.62877508,2867.03509274,2890.01193193,0.79346835,0.0079346835,4.1300027793E-05,7.22971389,222.91066946,2,steel_rigid,210000.0,0.3000,177.93346952,0.1692960232,0.7608822975,0.3342749724,0.0869367067,0.4819809259,0.6191963040,0.7080083018
case058,cases_floorfrontR_lhs_500\case058\case058.key,2000395,3368128,-2327.25000000,-584.97895000,290.30602500,-2326.59226858,-585.86680367,272.84094254,-164.19441796,221.64155831,4359.93930150,4368.65602903,0.88056083,0.0088056083,4.5833191003E-05,3.62003424,126.53144016,2,steel_rigid,210000.0,0.3000,108.79738055,0.3707431166,0.0774523981,0.7611229552,0.2611216524,0.2413356161,0.3514762227,0.9016876203
case059,cases_floorfrontR_lhs_500\case059\case059.key,2000395,3371352,-2551.47300000,-337.42580000,298.97380000,-2551.08966195,-338.97055546,281.54632794,-49.80711570,200.71008706,2264.35155637,2273.77511171,0.78913220,0.0078913220,4.1074331018E-05,5.21820787,103.93668212,2,steel_rigid,210000.0,0.3000,201.02923882,0.1613660499,0.6739895866,0.1563826425,0.0782644003,0.3478805248,0.2887130059,0.7252397627
case060,cases_floorfrontR_lhs_500\case060\case060.key,2000395,3367847,-2449.92000000,-540.53807500,294.47532500,-2447.82667807,-538.66535717,277.20219757,-612.54298516,-547.99032897,5054.42230429,5120.80922701,1.21154526,0.0121154526,6.3060930946E-05,9.23591459,221.81630216,2,steel_rigid,210000.0,0.3000,86.06368748,0.2561951676,0.1845430759,0.9782509821,0.9230905263,0.6157276394,0.6161563949,0.6898868496
case061,cases_floorfrontR_lhs_500\case061\case061.key,2000395,3376046,-1824.58650000,-347.96845000,291.16102500,-1827.70703700,-347.15288511,273.96081853,697.54058457,-182.30503515,3844.80045687,3911.81397131,0.95183234,0.0095183234,4.9542873098E-05,10.62066428,345.35314053,1,titanium_rigid,110000.0,0.3400,220.66403494,0.8401249784,0.6485846067,0.6292439512,0.4036646724,0.7080442852,0.9593142793,0.4554195975
case062,cases_floorfrontR_lhs_500\case062\case062.key,2000395,3367144,-2639.99700000,-476.77110000,300.16547500,-2643.82389823,-474.76086633,283.20776848,801.74708751,-421.15020992,3552.69228573,3666.30445663,1.22644173,0.0122644173,6.3836292161E-05,14.30091162,332.28747614,0,aluminum_rigid,70000.0,0.3300,103.44937968,0.0787032746,0.3382045098,0.5583714259,0.9528834644,0.9533941082,0.9230207670,0.2907724916
case063,cases_floorfrontR_lhs_500\case063\case063.key,2000395,3367738,-2467.70500000,-498.76520000,295.15447500,-2468.69754384,-498.93387578,277.68345885,232.05068637,39.43536635,4084.61684062,4091.39308840,1.04673851,0.0104673851,5.4482739557E-05,3.29804536,9.64486553,0,aluminum_rigid,70000.0,0.3300,83.96835919,0.2395877226,0.2852045840,0.6810840012,0.5934770243,0.2198696907,0.0267912932,0.1770962586
case064,cases_floorfrontR_lhs_500\case064\case064.key,2000395,3368651,-1974.95850000,-455.54680000,290.59895000,-1973.87680163,-452.90347815,273.33358646,-224.12009622,-547.67721463,3577.25874223,3625.87372337,1.05824947,0.0105824947,5.5081885145E-05,9.39296697,247.74467410,2,steel_rigid,210000.0,0.3000,193.72366396,0.6997091946,0.3893494225,0.5467000731,0.6164989489,0.6261977979,0.6881796503,0.8387999411
case065,cases_floorfrontR_lhs_500\case065\case065.key,2000395,3369603,-1911.13400000,-507.39832500,295.91807500,-1912.81447244,-503.64347714,278.90845625,424.78727994,-949.14475886,4299.66568475,4423.62351552,1.22869587,0.0122869587,6.3953620207E-05,13.59580503,294.11077911,1,titanium_rigid,110000.0,0.3400,116.69178064,0.7593078379,0.2644010510,0.7769907091,0.9573917467,0.9063870017,0.8169743864,0.3598176338
case066,cases_floorfrontR_lhs_500\case066\case066.key,2000395,3376320,-2133.60700000,-380.63062500,290.44487500,-2137.23487497,-382.77639560,273.46005261,587.66800223,347.58659894,2751.31770474,2834.76969735,1.13066418,0.0113066418,5.8851070602E-05,13.93696839,30.60294061,1,titanium_rigid,110000.0,0.3400,256.14438101,0.5515649027,0.5698774602,0.3183279055,0.7613283613,0.9291312259,0.0850081684,0.4906930173
case067,cases_floorfrontR_lhs_500\case067\case067.key,2000395,3376065,-1856.61425000,-361.72752500,290.56432500,-1853.16287878,-360.06968314,273.48833024,-909.25773893,-436.75555241,4498.64109271,4610.34453479,1.06991134,0.0106991134,5.5688885350E-05,12.63819380,205.65697417,2,steel_rigid,210000.0,0.3000,227.06843013,0.8102178040,0.6154288989,0.8308924496,0.6398226840,0.8425462530,0.5712693727,0.9111341180
case068,cases_floorfrontR_lhs_500\case068\case068.key,2000395,3368042,-2366.75750000,-551.88550000,291.75480000,-2366.85872413,-551.78001340,274.25541069,18.36931037,-19.14282927,3175.64322500,3175.75404777,1.23761224,0.0123761224,6.4417716897E-05,0.47866313,313.81870006,0,aluminum_rigid,70000.0,0.3300,142.11623378,0.3338514308,0.1571988026,0.4167616546,0.9752244725,0.0319108752,0.8717186113,0.3190296599
case069,cases_floorfrontR_lhs_500\case069\case069.key,2000395,3367968,-2433.81775000,-577.66010000,293.84520000,-2435.79185726,-576.05647837,276.53100645,307.70429987,-249.95666796,2698.76511675,2727.72678753,1.15331439,0.0115331439,6.0030014072E-05,8.35668463,320.91209461,1,titanium_rigid,110000.0,0.3400,104.31601988,0.2712312784,0.0950888782,0.2874272647,0.8066287828,0.5571123087,0.8914224850,0.4108086935
case070,cases_floorfrontR_lhs_500\case070\case070.key,2000395,3368498,-2263.66300000,-528.38657500,298.65170000,-2263.61519148,-531.63912691,281.45668269,-8.99729359,612.11193029,3236.00530934,3293.40133124,0.76005869,0.0076005869,3.9561054976E-05,10.71245346,90.84211694,0,aluminum_rigid,70000.0,0.3300,165.30683290,0.4301199849,0.2138249560,0.4507235158,0.0201173862,0.7141635643,0.2523392137,0.2217696568
case071,cases_floorfrontR_lhs_500\case071\case071.key,2000395,3366466,-2255.07225000,-462.04332500,290.11982500,-2256.74919451,-460.45336336,272.77307086,376.14819876,-356.63744559,3890.97567984,3925.34959923,1.24053005,0.0124053005,6.4569588941E-05,7.58805411,316.52516602,1,titanium_rigid,110000.0,0.3400,231.69794866,0.4381419365,0.3736945267,0.6331513522,0.9810600938,0.5058702743,0.8792365723,0.4137912728
case072,cases_floorfrontR_lhs_500\case072\case072.key,2000395,3372564,-2350.03550000,-213.07702500,310.61865000,-2348.21067375,-210.53050835,293.40135457,-527.14708947,-735.62556442,4973.65004838,5055.31639255,1.24149983,0.0124149983,6.4620066206E-05,10.31267683,234.37472907,2,steel_rigid,210000.0,0.3000,90.49632877,0.3494662576,0.9736370305,0.9593448205,0.9829996621,0.6875117890,0.6510409141,0.6997179510
case073,cases_floorfrontR_lhs_500\case073\case073.key,2000395,3373433,-1905.17225000,-260.80940000,308.32697500,-1908.79245025,-260.50685322,291.20819538,720.72846259,-60.23259972,3408.09647803,3483.99183214,0.88468450,0.0088468450,4.6047828368E-05,11.98114212,355.22278772,1,titanium_rigid,110000.0,0.3400,135.94605543,0.7648748570,0.8586147139,0.5057422800,0.2693690055,0.7987428078,0.9867299659,0.3903215475
case074,cases_floorfrontR_lhs_500\case074\case074.key,2000395,3377517,-2640.24750000,-403.97657500,301.58360000,-2639.64695267,-402.23017360,284.18131782,-135.12672081,-392.95069825,3915.61695417,3937.60404481,1.02803387,0.0102803387,5.3509163083E-05,6.05770035,251.02308308,2,steel_rigid,210000.0,0.3000,159.56483073,0.0784693604,0.5136199358,0.6366889076,0.5560677457,0.4038466901,0.6972863419,0.7235310249
