case,impact_x,impact_y,impact_z,velocity_x,velocity_y,velocity_z,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_young_mpa,material_poisson,material_index,material_name
case243,-2158.24169921875,580.0741577148438,288.0184326171875,-193.2906951904297,18.433509826660156,2707.523193359375,2714.4765625,0.7939226627349854,0.007939226925373077,4.1323677578475326e-05,4.101894855499268,174.5523681640625,210000.0,0.30000001192092896,2,steel_rigid
case244,-2451.641357421875,381.11566162109375,293.3178405761719,-298.2855224609375,-306.1551513671875,1896.6873779296875,1944.2552490234375,1.147396445274353,0.011473963968455791,5.972198414383456e-05,12.70009708404541,225.7459259033203,110000.0,0.3400000035762787,1,titanium_rigid
case245,-2316.15380859375,570.7401123046875,284.1372375488281,-144.74044799804688,176.71539306640625,3916.812255859375,3923.46728515625,0.8458439707756042,0.008458440192043781,4.402617923915386e-05,3.337663173675537,129.31951904296875,70000.0,0.33000001311302185,0,aluminum_rigid
case246,-1745.6182861328125,309.7341613769531,302.475830078125,84.19208526611328,-115.49907684326172,4138.71533203125,4141.1826171875,1.0645735263824463,0.010645735077559948,5.5411048379028216e-05,1.9778852462768555,306.0898742675781,210000.0,0.30000001192092896,2,steel_rigid
case247,-2054.310302734375,255.12033081054688,311.92047119140625,-495.1424865722656,463.6819152832031,3726.261962890625,3787.505126953125,1.074724793434143,0.01074724830687046,5.5939428420970216e-05,10.317556381225586,136.87928771972656,110000.0,0.3400000035762787,1,titanium_rigid
case248,-1966.8153076171875,586.3314819335938,289.59478759765625,-640.6189575195312,135.830322265625,4056.695068359375,4109.21142578125,1.207357406616211,0.012073574587702751,6.284295523073524e-05,9.169987678527832,168.0288848876953,210000.0,0.30000001192092896,2,steel_rigid
case249,-2058.7861328125,337.37078857421875,294.20068359375,-58.02703857421875,-24.823286056518555,2168.100341796875,2169.018798828125,1.2382737398147583,0.01238273736089468,6.445214967243373e-05,1.6674158573150635,203.16067504882812,110000.0,0.3400000035762787,1,titanium_rigid
case250,-2049.365478515625,512.010009765625,288.5378112792969,-148.69529724121094,101.20489501953125,2962.6025390625,2968.057861328125,1.0473182201385498,0.010473182424902916,5.4512915085069835e-05,3.4743363857269287,145.76004028320312,110000.0,0.3400000035762787,1,titanium_rigid
case251,-1797.0784912109375,405.3294372558594,297.3534851074219,14.983180046081543,11.406512260437012,2452.997314453125,2453.069580078125,1.0364348888397217,0.010364349000155926,5.394643812905997e-05,0.4398341476917267,37.281578063964844,70000.0,0.33000001311302185,0,aluminum_rigid
case252,-2090.98291015625,369.544921875,289.1146240234375,249.4364013671875,-140.34286499023438,2580.54150390625,2596.364501953125,0.9370429515838623,0.009370429441332817,4.877308674622327e-05,6.328797817230225,330.63616943359375,210000.0,0.30000001192092896,2,steel_rigid
case253,-2098.892333984375,596.9025268554688,288.3599548339844,-5.481666088104248,-141.5883026123047,2680.073486328125,2683.816650390625,0.8598536849021912,0.008598536252975464,4.475538298720494e-05,3.026386260986328,267.7828674316406,110000.0,0.3400000035762787,1,titanium_rigid
case254,-1935.8927001953125,551.722412109375,291.5694580078125,7.561127662658691,-108.11820983886719,2669.956298828125,2672.1552734375,0.8491277694702148,0.008491277694702148,4.4197098759468645e-05,2.324547052383423,274.0003967285156,210000.0,0.30000001192092896,2,steel_rigid
case255,-2395.2099609375,597.4398803710938,290.799560546875,213.97059631347656,424.8337097167969,3573.7138671875,3605.23193359375,1.2110817432403564,0.01211081724613905,6.303680129349232e-05,7.581729888916016,63.267555236816406,210000.0,0.30000001192092896,2,steel_rigid
case256,-2372.70947265625,357.340576171875,290.9023132324219,382.5122375488281,147.59445190429688,3926.939697265625,3948.284912109375,0.8554947972297668,0.00855494849383831,4.452850407687947e-05,5.960480213165283,21.099382400512695,210000.0,0.30000001192092896,2,steel_rigid
case257,-1915.9000244140625,545.280517578125,291.50604248046875,892.0838012695312,95.20520782470703,4625.98388671875,4712.17626953125,0.7846142649650574,0.007846142165362835,4.083917156094685e-05,10.97552490234375,6.091678142547607,210000.0,0.30000001192092896,2,steel_rigid
case258,-2654.4501953125,505.6664733886719,297.5421142578125,609.9972534179688,-236.5265655517578,4617.46630859375,4663.58642578125,0.984942615032196,0.009849426336586475,5.1266262744320557e-05,8.064556121826172,338.8061828613281,70000.0,0.33000001311302185,0,aluminum_rigid
case259,-2631.53271484375,399.540283203125,301.9193115234375,-63.8183479309082,515.8787841796875,4447.3740234375,4477.64892578125,0.819103479385376,0.008191035129129887,4.2634335841285065e-05,6.666511058807373,97.05211639404297,70000.0,0.33000001311302185,0,aluminum_rigid
case260,-2071.497314453125,412.42791748046875,298.1249084472656,710.5307006835938,-1049.8082275390625,5023.9296875,5181.3916015625,1.161608338356018,0.011616083793342113,6.046171620255336e-05,14.161473274230957,304.0909118652344,210000.0,0.30000001192092896,2,steel_rigid
case261,-1763.718017578125,279.97900390625,303.1787109375,452.9214172363281,479.0105895996094,2553.87939453125,2637.591552734375,1.228373646736145,0.01228373683989048,6.393685180228204e-05,14.473827362060547,46.60356140136719,70000.0,0.33000001311302185,0,aluminum_rigid
case262,-2303.865234375,335.4920654296875,294.8034362792969,-18.038311004638672,-327.8309631347656,2705.364013671875,2725.21435546875,1.1345694065093994,0.01134569477289915,5.905433863517828e-05,6.9196577072143555,266.8505859375,70000.0,0.33000001311302185,0,aluminum_rigid
case263,-2592.699462890625,457.54046630859375,296.96197509765625,-44.493186950683594,191.09213256835938,4895.34765625,4899.27783203125,1.0334864854812622,0.010334865190088749,5.3792973631061614e-05,2.295163631439209,103.10700988769531,70000.0,0.33000001311302185,0,aluminum_rigid
case264,-2247.215087890625,240.8979949951172,312.6020812988281,-48.08953094482422,1065.83984375,4659.458984375,4780.05078125,0.993181049823761,0.009931810200214386,5.1695074944291264e-05,12.897260665893555,92.5833740234375,210000.0,0.30000001192092896,2,steel_rigid
case265,-2029.5142822265625,337.6302490234375,294.1944885253906,-357.1509094238281,-22.40594482421875,2332.94482421875,2360.231201171875,0.9544494152069092,0.00954449363052845,4.96790926263202e-05,8.720691680908203,183.58975219726562,70000.0,0.33000001311302185,0,aluminum_rigid
case266,-1845.5050048828125,382.79840087890625,288.8949890136719,-125.85851287841797,47.59208297729492,2396.47998046875,2400.25439453125,1.1449006795883179,0.01144900731742382,5.959208283456974e-05,3.213637113571167,159.28640747070312,210000.0,0.30000001192092896,2,steel_rigid
case267,-1832.9014892578125,354.1893005371094,289.0757751464844,-139.42181396484375,396.8238830566406,3031.6708984375,3060.70849609375,1.2181576490402222,0.012181577272713184,6.340511026792228e-05,7.8986053466796875,109.35863494873047,110000.0,0.3400000035762787,1,titanium_rigid
case268,-2132.633544921875,459.2078857421875,289.0237121582031,184.2609100341797,301.3454284667969,3708.5244140625,3725.307373046875,0.8312451839447021,0.008312451653182507,4.326631096773781e-05,5.44067907333374,58.555850982666016,70000.0,0.33000001311302185,0,aluminum_rigid
case269,-2391.99267578125,311.15374755859375,310.5859069824219,-319.9286193847656,327.166015625,2461.42333984375,2503.5966796875,0.7659015655517578,0.007659015711396933,3.986517549492419e-05,10.531407356262207,134.3592071533203,210000.0,0.30000001192092896,2,steel_rigid
case270,-2402.139404296875,271.2918701171875,311.6392822265625,92.48519897460938,77.91565704345703,4930.0185546875,4931.50146484375,0.7634840607643127,0.007634840440005064,3.97393450839445e-05,1.4051589965820312,40.113006591796875,110000.0,0.3400000035762787,1,titanium_rigid
case271,-2279.86962890625,553.737548828125,290.2334289550781,355.6802062988281,-251.74478149414062,4801.76220703125,4821.494140625,1.0173887014389038,0.010173887945711613,5.295508526614867e-05,5.185349464416504,324.7097473144531,70000.0,0.33000001311302185,0,aluminum_rigid
