case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case323,cases_trunkfloor_lhs_500\case323\case323.key,2000447,3288668,-3773.33975000,-310.51542500,624.78732500,-3769.59086939,-311.84101364,607.74506256,-907.60309193,320.92469064,4125.92762783,4236.74578181,0.92184070,0.0092184070,4.7981808671E-05,13.13342772,160.52661674,1,titanium_rigid,110000.0,0.3400,92.98334534,0.8140555974,0.1143201335,0.7230437291,0.3436814091,0.8755618481,0.4459072687,0.6653249689
case324,cases_trunkfloor_lhs_500\case324\case324.key,2000447,3287981,-3685.40275000,190.78337500,560.57015000,-3681.68831945,191.14312440,543.47267691,-719.97633480,-69.73102699,3314.04123179,3392.06391815,1.11242759,0.0111242759,5.7901855997E-05,12.31266469,185.53194720,0,aluminum_rigid,70000.0,0.3300,85.45825275,0.9421272874,0.7098245455,0.4792049647,0.7248551776,0.8208443125,0.5153665200,0.0438387274
case325,cases_trunkfloor_lhs_500\case325\case325.key,2000447,3285090,-3983.79200000,79.32568500,487.40810000,-3983.89188680,80.11278293,469.92609498,17.33994957,-136.63706210,3034.80637277,3037.93022975,1.17891367,0.0117891367,6.1362456350E-05,2.59855268,277.23246986,2,steel_rigid,210000.0,0.3000,82.64760697,0.5075523586,0.5774213837,0.3769753269,0.8578273333,0.1732368451,0.7700901941,0.8732356137
case326,cases_trunkfloor_lhs_500\case326\case326.key,2000447,3289623,-4254.04400000,320.11157500,574.36032500,-4252.45311795,321.69391971,557.00477028,-350.91612869,-349.03296589,3828.28134434,3860.14302741,0.81080997,0.0081080997,4.2202658822E-05,7.36664030,224.84585019,2,steel_rigid,210000.0,0.3000,126.28986859,0.1139565985,0.8634564986,0.6143278275,0.1216199355,0.4911093533,0.6245718061,0.7733993588
case327,cases_trunkfloor_lhs_500\case327\case327.key,2000447,3283766,-3813.15950000,209.65765000,504.48995000,-3815.06488518,211.78806520,487.22493224,539.39249460,-603.09588644,4887.52672085,4954.04747237,1.06747548,0.0106747548,5.5562098724E-05,9.39990105,311.80858026,2,steel_rigid,210000.0,0.3000,135.10885254,0.7560620034,0.7322457323,0.9301109877,0.6349509596,0.6266600701,0.8661349452,0.8945108421
case328,cases_trunkfloor_lhs_500\case328\case328.key,2000447,3286892,-4320.86475000,-203.14565000,547.20205000,-4316.75685485,-201.25206611,530.29673908,-655.23881091,-302.04024536,2696.51863596,2791.37581905,0.80348674,0.0080348674,4.1821484614E-05,14.97963319,204.74790976,2,steel_rigid,210000.0,0.3000,80.44713222,0.0166386734,0.2418671668,0.3058011660,0.1069734722,0.9986422125,0.5687441938,0.9863261093
case329,cases_trunkfloor_lhs_500\case329\case329.key,2000447,3283749,-3841.70025000,185.32227500,501.24045000,-3843.41057067,181.55719200,484.23606959,489.78661206,1078.21140085,4869.56511644,5011.49630086,0.98005353,0.0098005353,5.1011786325E-05,13.66857298,65.56967628,0,aluminum_rigid,70000.0,0.3300,172.50870635,0.7144951762,0.7033371788,0.9466950437,0.4601070634,0.9112381988,0.1821379897,0.0307320101
case330,cases_trunkfloor_lhs_500\case330\case330.key,2000447,3295238,-4237.59350000,-347.00635000,631.04050000,-4236.94440170,-347.05386915,613.55260666,-141.47278993,10.35693180,3811.53526298,3814.17394428,0.99562475,0.0099562475,5.1822268417E-05,2.13135550,175.81296324,1,titanium_rigid,110000.0,0.3400,136.11137163,0.1379151522,0.0709717217,0.6010576901,0.4912495069,0.1420903665,0.4883693423,0.6389721784
case331,cases_trunkfloor_lhs_500\case331\case331.key,2000447,3284584,-3938.39550000,270.33960000,510.17660000,-3941.67949701,270.68657673,492.99099641,635.30173947,-67.12397169,3324.62052548,3385.44170917,0.77339534,0.0077339534,4.0255227570E-05,10.87701531,353.96868605,1,titanium_rigid,110000.0,0.3400,234.96448416,0.5736679467,0.8043312210,0.4772932967,0.0467906847,0.7251343537,0.9832463502,0.3687464708
case332,cases_trunkfloor_lhs_500\case332\case332.key,2000447,3289518,-4282.46675000,332.75990000,602.12375000,-4284.67698654,335.14728718,584.92883107,296.40372857,-320.16051127,2305.92427003,2346.83716146,1.22910992,0.0122910992,6.3975171363E-05,10.71418630,312.79343289,1,titanium_rigid,110000.0,0.3400,96.08470998,0.0725616268,0.8784817357,0.1774738493,0.9582198410,0.7142790866,0.8688706469,0.6147157797
case333,cases_trunkfloor_lhs_500\case333\case333.key,2000447,3286487,-3956.57900000,-370.21607500,552.58350000,-3954.21354511,-368.94848144,535.29050056,-666.85820896,-357.35416979,4875.16320034,4933.51984930,1.06589267,0.0106589267,5.5479713250E-05,8.82131612,208.18584644,0,aluminum_rigid,70000.0,0.3300,116.43823093,0.5471854470,0.0434003538,0.9241851705,0.6317853314,0.5880877414,0.5782940179,0.0540548876
case334,cases_trunkfloor_lhs_500\case334\case334.key,2000447,3291560,-3725.81850000,388.05880000,628.25885000,-3729.99192310,388.94380311,611.28683453,1200.00805709,-254.46997397,4880.06003869,5031.87443066,0.95928242,0.0095928242,4.9930650178E-05,14.11000618,348.02739442,1,titanium_rigid,110000.0,0.3400,80.60729267,0.8832656774,0.9441725750,0.9525777058,0.4185648483,0.9406670784,0.9667427623,0.5405034219
case335,cases_trunkfloor_lhs_500\case335\case335.key,2000447,3286621,-4106.94700000,-325.20897500,519.66582500,-4108.11483588,-326.24693641,502.23571325,306.46531356,272.38345377,4574.03712985,4592.37731459,1.03009936,0.0103009936,5.3616671434E-05,5.12230390,41.63038951,0,aluminum_rigid,70000.0,0.3300,161.41284969,0.3281890760,0.0968653264,0.8257057575,0.5601987102,0.3414869269,0.1156399709,0.0049331238
