case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case057,cases_floorfrontdriver_lhs_100\case057\case057.key,2000394,3049946,-1735.64900000,399.12380000,294.45292500,-1733.03003559,399.88562901,277.16678483,-763.76913128,-222.17235024,5041.16063048,5103.52861669,1.15281370,0.0115281370,6.0003953001E-05,8.96657292,196.21915392,2,steel_rigid,210000.0,0.3000,130.22806126,0.9254956413,0.4495032425,0.9732624972,0.8056273968,0.5977715283,0.5450532053,0.9942426029
case058,cases_floorfrontdriver_lhs_100\case058\case058.key,2000394,2859158,-1871.01350000,428.13707500,291.19950000,-1871.08032862,424.98623021,273.98561865,17.19670934,810.79275796,4429.57088498,4503.19651450,1.18749656,0.0118749656,6.1809196197E-05,10.37493025,88.78495318,1,titanium_rigid,110000.0,0.3400,186.81504186,0.7989035314,0.5226105693,0.7999614660,0.8749931296,0.6916620169,0.2466248700,0.4756218808
case059,cases_floorfrontdriver_lhs_100\case059\case059.key,2000394,3045879,-1945.62275000,564.29375000,293.24082500,-1946.17845741,564.57798802,275.75196003,98.00857096,-50.13026940,3084.46248478,3086.42633864,0.94216816,0.0094216816,4.9039852886E-05,2.04403010,332.91077247,2,steel_rigid,210000.0,0.3000,95.15553954,0.7291293855,0.8656966404,0.3909749541,0.3843363261,0.1362686734,0.9247521457,0.7441772593
case060,cases_floorfrontdriver_lhs_100\case060\case060.key,2000394,3045719,-1858.06050000,528.81667500,296.16632500,-1859.49897931,526.78318870,278.84449742,375.55759279,530.90177602,4522.37569607,4568.89287877,0.89728231,0.0089728231,4.6703544245E-05,8.18291438,54.72457886,2,steel_rigid,210000.0,0.3000,85.63383654,0.8110171033,0.7763019025,0.8189263817,0.2945646204,0.5455276251,0.1520127191,0.8690336862
case061,cases_floorfrontdriver_lhs_100\case061\case061.key,2000394,3047997,-2118.11625000,242.47010000,313.76302500,-2119.50839770,240.74266944,296.40422584,374.45861965,464.64269629,4669.15396580,4707.13403776,0.94922175,0.0094922175,4.9406992210E-05,7.28332493,51.13442954,1,titanium_rigid,110000.0,0.3400,80.80946417,0.5678144462,0.0547689965,0.8588331855,0.3984435047,0.4855549950,0.1420400821,0.5193097481
case062,cases_floorfrontdriver_lhs_100\case062\case062.key,2000394,3046267,-2299.34000000,447.33647500,289.07495000,-2299.03488056,445.78685724,271.64636466,-42.45315998,215.60792932,2424.94716243,2434.88352710,1.06877300,0.0106877300,5.5629634827E-05,5.17797676,101.13903504,2,steel_rigid,210000.0,0.3000,247.99958487,0.3983350268,0.5709890033,0.2028906576,0.6375460068,0.3451984504,0.2809417640,0.8951129017
case063,cases_floorfrontdriver_lhs_100\case063\case063.key,2000394,3048636,-2392.91275000,231.00457500,311.92962500,-2396.60850902,231.44074465,294.82988461,663.18254360,-78.26811706,3068.44933934,3140.27360789,0.97161864,0.0097161864,5.0572749972E-05,12.27780550,353.26914638,0,aluminum_rigid,70000.0,0.3300,91.01388508,0.3108263237,0.0258782945,0.4065193291,0.4432372708,0.8185203664,0.9813031844,0.1251577663
case064,cases_floorfrontdriver_lhs_100\case064\case064.key,2000394,3044947,-2459.94900000,516.60747500,292.70710000,-2460.42281749,515.35188491,275.25863329,75.40251646,199.81248924,2776.71955797,2784.92047893,1.07042514,0.0107042514,5.5715628762E-05,4.39814128,69.32517938,1,titanium_rigid,110000.0,0.3400,82.87523826,0.2481344043,0.7455372965,0.3039376689,0.6408502887,0.2932094186,0.1925699427,0.6335469579
case065,cases_floorfrontdriver_lhs_100\case065\case065.key,2000394,3048040,-2075.34250000,243.91662500,312.43980000,-2074.84269887,242.63274587,294.99411706,-119.50451551,306.98080512,4171.33487890,4184.32231262,1.24049476,0.0124049476,6.4567752112E-05,4.51543019,111.27045887,1,titanium_rigid,110000.0,0.3400,82.88844862,0.6078162137,0.0584139340,0.7079103700,0.9809895144,0.3010286795,0.3090846080,0.3655225693
case066,cases_floorfrontdriver_lhs_100\case066\case066.key,2000394,3045289,-2310.87750000,540.44142500,293.45002500,-2309.67054712,537.59752530,276.22488351,-272.43033818,641.91781916,3888.01519374,3950.05555941,0.97956120,0.0097956120,5.0986160210E-05,10.16818111,112.99639914,1,titanium_rigid,110000.0,0.3400,154.83120758,0.3875452225,0.8055938178,0.6402833519,0.4591223904,0.6778787404,0.3138788865,0.5327911156
case067,cases_floorfrontdriver_lhs_100\case067\case067.key,2000394,3045198,-2153.68675000,494.89305000,293.28150000,-2155.61597647,496.12574457,275.93190204,313.48237510,-200.30205205,2819.15744553,2843.59645770,1.09836553,0.0109836553,5.7169925715E-05,7.51721557,327.42313349,0,aluminum_rigid,70000.0,0.3300,200.36877715,0.5345491171,0.6908215305,0.3208759729,0.6967310553,0.5011477049,0.9095087041,0.2155947918
case068,cases_floorfrontdriver_lhs_100\case068\case068.key,2000394,3045802,-1799.69150000,515.47937500,297.64400000,-1802.93559992,517.52388555,280.56928793,546.14775391,-344.19557701,2874.54637197,2946.14405773,1.21956363,0.0121956363,6.3478286946E-05,12.65737372,327.77987390,1,titanium_rigid,110000.0,0.3400,83.48375620,0.8656034598,0.7426947227,0.3504789289,0.9391272602,0.8438249146,0.9104996497,0.6059083441
case069,cases_floorfrontdriver_lhs_100\case069\case069.key,2000394,2793244,-2421.31925000,281.64502500,312.21557500,-2423.46795797,281.54863640,294.84825617,214.53545525,9.62381680,1734.02142148,1747.26883151,1.01503446,0.0101503446,5.2832543531E-05,7.05989157,2.56850162,1,titanium_rigid,110000.0,0.3400,142.16204794,0.2842607266,0.1534815356,0.0043933003,0.5300689157,0.4706594377,0.0071347267,0.5540856994
case070,cases_floorfrontdriver_lhs_100\case070\case070.key,2000394,3243971,-1927.95025000,526.73822500,295.11445000,-1930.31816994,530.45995428,278.17952495,396.50545520,-623.19926347,2835.73361648,2930.35476378,1.10208095,0.0110208095,5.7363313275E-05,14.59981083,302.46622562,0,aluminum_rigid,70000.0,0.3300,109.38171759,0.7456566069,0.7710646473,0.3459209503,0.7041618934,0.9733207217,0.8401839601,0.2260425483
case071,cases_floorfrontdriver_lhs_100\case071\case071.key,2000394,2793324,-2480.15075000,292.26935000,313.72157500,-2479.21281632,290.50435257,296.33609070,-123.12837780,231.70217084,2282.30046500,2297.33365141,1.21341751,0.0121341751,6.3158381644E-05,6.55825389,117.98653228,2,steel_rigid,210000.0,0.3000,153.76337040,0.2292418427,0.1802525912,0.1631834102,0.9268350295,0.4372169261,0.3277403674,0.6747483792
case072,cases_floorfrontdriver_lhs_100\case072\case072.key,2000394,3045534,-2109.85125000,511.48545000,289.15505000,-2110.63162955,515.30707434,272.09526702,133.48356938,-653.68711945,2918.06818148,2993.36710499,0.80721975,0.0080721975,4.2015787759E-05,12.87854056,281.54118678,0,aluminum_rigid,70000.0,0.3300,183.94281177,0.5755438272,0.7326308750,0.3641110548,0.1144394912,0.8585693708,0.7820588522,0.0922183465
case073,cases_floorfrontdriver_lhs_100\case073\case073.key,2000394,3044466,-2644.96500000,540.25597500,298.25172500,-2645.10139438,540.03795575,280.75361470,32.33736983,51.68958636,4148.57894471,4149.02696778,1.22358264,0.0122358264,6.3687476654E-05,0.84201261,57.96961212,2,steel_rigid,210000.0,0.3000,80.95436683,0.0751084942,0.8051265230,0.6977214768,0.9471652893,0.0561341740,0.1610267003,0.7200224078
case074,cases_floorfrontdriver_lhs_100\case074\case074.key,2000394,3045728,-1818.39950000,526.80967500,296.49662500,-1820.20113880,526.41854722,279.09400690,386.08487815,83.81731264,3729.32003551,3750.18863556,1.19543839,0.0119543839,6.2222568456E-05,6.04726958,12.24859247,2,steel_rigid,210000.0,0.3000,87.88819410,0.8481078447,0.7712446862,0.5825867139,0.8908767898,0.4031513057,0.0340238680,0.8216241254
case075,cases_floorfrontdriver_lhs_100\case075\case075.key,2000394,3047119,-2133.50875000,404.84677500,297.73137500,-2133.74226905,402.08373199,280.45245541,29.50510154,349.11013137,2183.18928454,2211.12276615,1.01229077,0.0101229077,5.2689734360E-05,9.11700114,85.16911775,0,aluminum_rigid,70000.0,0.3300,242.56431404,0.5534194678,0.4639239311,0.1382964597,0.5245815316,0.6078000757,0.2365808826,0.0370303064
